ticker_id,IPO_date,ticker_type
3005,2002-02-25,上市
3006,2002-03-04,上市
3008,2002-03-11,上市
3010,2002-07-22,上市
3011,2002-07-22,上市
3013,2002-09-16,上市
3014,2002-10-29,上市
3015,2002-10-16,上市
3016,2002-12-24,上市
3017,2002-09-27,上市
3018,2002-08-26,上市
3019,2002-08-26,上市
3021,2002-08-26,上市
3022,2002-08-26,上市
3023,2002-08-26,上市
3024,2002-08-26,上市
3025,2002-08-26,上市
3026,2002-08-26,上市
3027,2002-08-26,上市
3028,2002-08-26,上市
3029,2002-08-26,上市
3030,2002-10-29,上市
3031,2002-08-26,上市
3032,2002-08-26,上市
3033,2002-08-26,上市
3034,2002-08-26,上市
3035,2002-08-26,上市
3036,2002-08-26,上市
3037,2002-08-26,上市
3038,2002-08-26,上市
3040,2002-08-26,上市
3041,2002-08-26,上市
3042,2002-08-26,上市
3043,2002-08-26,上市
3044,2002-08-26,上市
3045,2002-08-26,上市
3046,2002-08-26,上市
3047,2002-08-26,上市
3048,2002-10-01,上市
3049,2002-09-27,上市
3050,2002-10-29,上市
3051,2002-10-28,上市
3052,1995-11-25,上市
3054,2002-11-18,上市
3055,2002-12-12,上市
3056,2003-03-03,上市
3057,2002-12-18,上市
3058,2002-12-09,上市
3059,2002-12-24,上市
3060,2003-04-21,上市
3062,2003-07-28,上市
3090,2007-12-31,上市
3094,2007-08-06,上市
3130,2006-02-17,上市
3149,2011-11-23,上市
3164,2010-03-22,上市
3167,2013-10-21,上市
3189,2004-11-01,上市
3209,2008-11-26,上市
3229,2009-12-31,上市
3231,2003-08-19,上市
3257,2011-03-21,上市
3266,2014-12-24,上市
3296,2007-12-31,上市
3305,2008-07-10,上市
3308,2008-03-12,上市
3311,2004-03-08,上市
3312,2010-12-29,上市
3321,2015-12-15,上市
3338,2013-12-13,上市
3346,2016-12-19,上市
3356,2005-03-28,上市
3376,2007-12-31,上市
3380,2004-12-20,上市
3383,2007-12-10,上市
3406,2005-12-20,上市
3413,2015-07-28,上市
3416,2015-01-23,上市
3419,2008-01-21,上市
3432,2010-12-30,上市
3437,2014-07-09,上市
3443,2006-11-03,上市
3450,2006-04-12,上市
3454,2011-07-22,上市
3481,2006-10-24,上市
3494,2007-12-13,上市
3501,2007-09-20,上市
3504,2007-01-26,上市
3515,2007-11-08,上市
3518,2007-11-28,上市
3528,2016-05-18,上市
3530,2018-07-16,上市
3532,2007-12-10,上市
3533,2007-12-10,上市
3535,2008-01-31,上市
3536,2008-04-30,上市
3545,2007-07-03,上市
3550,2010-11-10,上市
3557,2008-02-27,上市
3563,2019-04-02,上市
3576,2009-01-12,上市
3583,2013-03-12,上市
3588,2009-08-14,上市
3591,2010-11-12,上市
3593,2009-03-16,上市
3596,2009-03-11,上市
3605,2009-03-26,上市
3607,2009-10-28,上市
3617,2009-12-23,上市
3622,2009-03-25,上市
