date,open,high,low,close,adj_close,volume,dividend,stock split
2010-12-10,59.6,59.6,59.15,59.3,47.65,5798.0,0.0,0
2010-12-13,59.2,59.5,59.2,59.45,47.77,5851.0,0.0,0
2010-12-14,59.25,59.6,59.1,59.3,47.65,11531.0,0.0,0
2010-12-15,59.3,59.65,59.15,59.6,47.89,11398.0,0.0,0
2010-12-16,59.65,59.85,59.6,59.7,47.97,18617.0,0.0,0
2010-12-17,59.8,60.45,59.8,60.2,48.37,30706.0,0.0,0
2010-12-20,60.4,60.4,59.5,59.9,48.13,13013.0,0.0,0
2010-12-21,59.9,60.15,59.65,60.05,48.25,10191.0,0.0,0
2010-12-22,60.4,60.4,60.0,60.05,48.25,14730.0,0.0,0
2010-12-23,60.05,60.55,60.05,60.45,48.57,16440.0,0.0,0
2010-12-24,60.45,60.45,60.15,60.2,48.37,11186.0,0.0,0
2010-12-27,60.2,60.55,60.0,60.45,48.57,10370.0,0.0,0
2010-12-28,60.45,60.5,60.1,60.35,48.49,12714.0,0.0,0
2010-12-29,60.35,60.5,60.2,60.5,48.62,15103.0,0.0,0
2010-12-30,60.7,60.8,60.4,60.8,48.86,5863.0,0.0,0
2010-12-31,60.8,61.4,60.75,61.4,49.34,13931.0,0.0,0
2011-01-03,61.6,61.65,61.45,61.45,49.38,12025.0,0.0,0
2011-01-04,61.55,61.6,61.3,61.3,49.26,11080.0,0.0,0
2011-01-05,61.1,61.35,59.9,60.3,48.45,20742.0,0.0,0
2011-01-06,60.25,60.3,59.95,60.2,48.37,6872.0,0.0,0
2011-01-07,60.25,60.35,59.4,59.65,47.93,12254.0,0.0,0
2011-01-10,59.75,59.9,59.55,59.85,48.09,4227.0,0.0,0
2011-01-11,59.7,61.0,59.7,60.85,48.9,12731.0,0.0,0
2011-01-12,61.0,61.25,60.9,61.1,49.1,5708.0,0.0,0
2011-01-13,61.25,61.4,60.8,61.05,49.06,9654.0,0.0,0
2011-01-14,60.95,61.1,60.8,61.0,49.02,5312.0,0.0,0
2011-01-17,61.15,61.25,60.7,60.85,48.9,5088.0,0.0,0
2011-01-18,60.55,61.55,60.5,61.35,49.3,9660.0,0.0,0
2011-01-19,61.35,62.15,61.35,62.05,49.86,12817.0,0.0,0
2011-01-20,62.0,62.0,61.6,61.65,49.54,5206.0,0.0,0
2011-01-21,61.1,61.45,60.55,61.0,49.02,11616.0,0.0,0
2011-01-24,61.0,61.2,60.9,60.95,48.98,17729.0,0.0,0
2011-01-25,61.45,61.7,61.4,61.45,49.38,18631.0,0.0,0
2011-01-26,61.45,62.1,61.45,62.0,49.82,20892.0,0.0,0
2011-01-27,62.05,62.7,62.05,62.45,50.18,17138.0,0.0,0
2011-01-28,62.5,63.0,62.45,63.0,50.62,11820.0,0.0,0
2011-02-08,63.05,63.2,62.4,62.6,50.3,11105.0,0.0,0
2011-02-09,62.5,62.6,61.7,62.0,49.82,11311.0,0.0,0
2011-02-10,61.6,61.6,60.75,60.85,48.9,22740.0,0.0,0
2011-02-11,60.4,60.4,58.5,58.9,47.33,43619.0,0.0,0
2011-02-14,59.05,59.65,59.05,59.4,47.73,11060.0,0.0,0
2011-02-15,59.4,59.9,58.65,59.75,48.01,9817.0,0.0,0
2011-02-16,59.8,60.1,59.6,59.85,48.09,20553.0,0.0,0
2011-02-17,59.75,59.8,59.4,59.65,47.93,6938.0,0.0,0
2011-02-18,60.0,60.85,59.95,60.65,48.74,9815.0,0.0,0
2011-02-21,60.4,60.8,60.15,60.65,48.74,14827.0,0.0,0
2011-02-22,60.3,60.3,59.3,59.85,48.09,31436.0,0.0,0
2011-02-23,59.45,59.7,58.8,59.0,47.41,28099.0,0.0,0
2011-02-24,59.0,59.55,59.0,59.0,47.41,28679.0,0.0,0
2011-02-25,59.3,59.65,58.45,59.5,47.81,34380.0,0.0,0
2011-03-01,59.7,60.05,59.5,59.95,48.17,7982.0,0.0,0
2011-03-02,59.45,59.9,59.4,59.45,47.77,22924.0,0.0,0
2011-03-03,59.55,60.3,59.5,60.2,48.37,23052.0,0.0,0
2011-03-04,60.5,60.7,60.4,60.65,48.74,12083.0,0.0,0
2011-03-07,60.5,60.5,60.0,60.2,48.37,9695.0,0.0,0
2011-03-08,60.05,60.4,60.05,60.25,48.41,2558.0,0.0,0
2011-03-09,60.55,60.65,60.0,60.2,48.37,6276.0,0.0,0
2011-03-10,60.15,60.25,59.3,59.5,47.81,8130.0,0.0,0
2011-03-11,59.05,59.05,58.4,58.85,47.29,22460.0,0.0,0
2011-03-14,58.6,58.9,57.65,58.8,47.25,27988.0,0.0,0
2011-03-15,58.7,58.7,55.6,57.5,46.2,61987.0,0.0,0
2011-03-16,58.0,58.05,57.25,57.3,46.04,20870.0,0.0,0
2011-03-17,56.8,57.3,56.5,57.3,46.04,20301.0,0.0,0
2011-03-18,57.7,57.8,57.35,57.75,46.41,13021.0,0.0,0
2011-03-21,57.9,58.5,57.8,58.1,46.69,18783.0,0.0,0
2011-03-22,58.5,58.7,58.35,58.4,46.93,16996.0,0.0,0
2011-03-23,58.4,58.65,58.15,58.5,47.01,13041.0,0.0,0
2011-03-24,58.85,59.0,58.55,58.75,47.21,13103.0,0.0,0
2011-03-25,59.05,59.65,59.05,59.35,47.69,12800.0,0.0,0
2011-03-28,59.25,59.3,58.85,59.15,47.53,6825.0,0.0,0
2011-03-29,58.9,59.3,58.75,59.25,47.61,5958.0,0.0,0
2011-03-30,59.4,59.8,59.25,59.6,47.89,11131.0,0.0,0
2011-03-31,59.5,59.7,59.1,59.55,47.85,8058.0,0.0,0
2011-04-01,59.6,59.85,59.6,59.85,48.09,9589.0,0.0,0
2011-04-06,60.0,61.4,60.0,61.15,49.14,30672.0,0.0,0
2011-04-07,61.35,61.4,60.95,61.3,49.26,20206.0,0.0,0
2011-04-08,61.25,61.5,61.0,61.1,49.1,11882.0,0.0,0
2011-04-11,61.1,61.2,60.75,61.1,49.1,11657.0,0.0,0
